,Data,Sleep_Stage,Cata,Sample_number,Area
0,0.3880692751763951,Nrem,Sensitivity,5,EMG
0,0.03112990007686395,Rem,Sensitivity,5,EMG
0,0.4135993114272695,Wakefulness,Specificity,5,EMG
0,0.9253170502583372,Nrem,Specificity,5,EMG
0,0.9915087821375322,Rem,Specificity,5,EMG
0,0.9183501683501684,Wakefulness,Precision,5,Cerebral EEG
0,0.783684794672586,Nrem,Precision,5,Cerebral EEG
0,0.8164970930232558,Rem,Precision,5,Cerebral EEG
0,0.8933174854727945,Wakefulness,Recall,5,Cerebral EEG
0,0.8232002331681726,Nrem,Recall,5,Cerebral EEG
0,0.8692456479690522,Rem,Recall,5,Cerebral EEG
0,0.8933174854727945,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.8232002331681726,Nrem,Sensitivity,5,Cerebral EEG
0,0.8692456479690522,Rem,Sensitivity,5,Cerebral EEG
0,0.8476697061803444,Wakefulness,Specificity,5,Cerebral EEG
0,0.9036222029917171,Nrem,Specificity,5,Cerebral EEG
0,0.9908206852676543,Rem,Specificity,5,Cerebral EEG
0,0.7953983395159866,Wakefulness,Precision,5,Cerebellar EEG
0,0.7483530961791831,Nrem,Precision,5,Cerebellar EEG
0,0.3441208198489752,Rem,Precision,5,Cerebellar EEG
0,0.9514527205493924,Wakefulness,Recall,5,Cerebellar EEG
0,0.4966482075196736,Nrem,Recall,5,Cerebellar EEG
0,0.12340425531914893,Rem,Recall,5,Cerebellar EEG
0,0.9514527205493924,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.4966482075196736,Nrem,Sensitivity,5,Cerebellar EEG
0,0.12340425531914893,Rem,Sensitivity,5,Cerebellar EEG
0,0.530597771023303,Wakefulness,Specificity,5,Cerebellar EEG
0,0.929163060946965,Nrem,Specificity,5,Cerebellar EEG
0,0.9889484685994728,Rem,Specificity,5,Cerebellar EEG
0,0.832878005165905,Wakefulness,Precision,5,EMG
0,0.6524586329883646,Nrem,Precision,5,EMG
0,0.18025751072961374,Rem,Precision,5,EMG
0,0.8857633386159535,Wakefulness,Recall,5,EMG
0,0.6504809093558729,Nrem,Recall,5,EMG
0,0.016247582205029015,Rem,Recall,5,EMG
0,0.8857633386159535,Wakefulness,Sensitivity,5,EMG
0,0.6504809093558729,Nrem,Sensitivity,5,EMG
0,0.016247582205029015,Rem,Sensitivity,5,EMG
0,0.6591185410334347,Wakefulness,Specificity,5,EMG
0,0.8530349857831623,Nrem,Specificity,5,EMG
0,0.9965282195764792,Rem,Specificity,5,EMG
0,0.8595675894120024,Wakefulness,Precision,5,Cerebral EEG
0,0.7678197397651539,Nrem,Precision,5,Cerebral EEG
0,0.8686196182867288,Rem,Precision,5,Cerebral EEG
0,0.9046251993620414,Wakefulness,Recall,5,Cerebral EEG
0,0.6952298850574713,Nrem,Recall,5,Cerebral EEG
0,0.7585271317829457,Rem,Recall,5,Cerebral EEG
0,0.9046251993620414,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.6952298850574713,Nrem,Sensitivity,5,Cerebral EEG
0,0.7585271317829457,Rem,Sensitivity,5,Cerebral EEG
0,0.7217217217217218,Wakefulness,Specificity,5,Cerebral EEG
0,0.9090049751243781,Nrem,Specificity,5,Cerebral EEG
0,0.9946201381315886,Rem,Specificity,5,Cerebral EEG
0,0.8443309348984553,Wakefulness,Precision,5,Cerebellar EEG
0,0.7034917000572409,Nrem,Precision,5,Cerebellar EEG
0,0.3036332179930796,Rem,Precision,5,Cerebellar EEG
0,0.9139287612971824,Wakefulness,Recall,5,Cerebellar EEG
0,0.6356896551724138,Nrem,Recall,5,Cerebellar EEG
0,0.13604651162790699,Rem,Recall,5,Cerebellar EEG
0,0.9139287612971824,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.6356896551724138,Nrem,Sensitivity,5,Cerebellar EEG
0,0.13604651162790699,Rem,Sensitivity,5,Cerebellar EEG
0,0.6827327327327327,Wakefulness,Specificity,5,Cerebellar EEG
0,0.8840298507462686,Nrem,Specificity,5,Cerebellar EEG
0,0.9853689567430025,Rem,Specificity,5,Cerebellar EEG
